 Galaxy name        , z        , RA            , Dec            , $\alpha_{\textrm{AGN}}$ , $\log L_{\textrm{IR}}$ , $\log L_{\textrm{AGN}}$ , SFR               , OH$_{\rm max}^{\dagger}$ , OH$_{\rm EQW}^{\dagger}$ , Ref.
 IRAS F12072-0444 ,0.1286, 12:09:45.132  ,-05:01:13.76,0.75,12.4,12.33, 60$\pm$20$^{*}$   ,-1200,-51, $\beta$
 IRAS F12112+0305   ,0.07309, 12:13:45.978  , +02:48:40.4    ,0.18,12.32,11.63, 170$\pm$70$^{*}$  ,-400,-2, $\beta$
 IRAS 13120-5453  ,0.0308, 13:15:06.358  ,-55:09:23.23,0.33,12.24,11.83, 120$\pm$50$^{*}$  ,-1200,-113, $\beta$
 IRAS F13305-1739 ,0.1484, 13:33:16.540  ,-17:55:10.70,0.88,12.26,12.26, 23$\pm$9$^{*}$    ,                          ,                          , $\beta$
 IRAS F13451+1232   ,0.1217, 13:47:33.425  , +12:17:24.32   ,0.81,12.32,12.29, 41$\pm$15$^{*}$   ,                          ,136, $\beta$
 IRAS F14348-1447 ,0.083, 14:37:38.317  ,-15:00:23.29,0.17,12.34,11.64, 180$\pm$70$^{*}$  ,-900,-25, $\beta$
 IRAS F14378-3651 ,0.068127, 14:40:59.008  ,-37:04:31.94,0.21,12.11,11.5, 100$\pm$40$^{*}$  ,-1200,-119, $\beta$
 IRAS F15462-0450 ,0.100283, 15:48:56.813  ,-04:59:33.61,0.61,12.21,12.05, 60$\pm$20$^{*}$   ,-600:00:00,80, $\beta$
 IRAS 16090-0139  ,0.1336, 16:11:40.432  ,-01:47:06.56,0.43,12.55,12.25, 200$\pm$80        ,-1422,-332, $\gamma$
 IRAS 17208-0014  ,0.0428, 17:23:21.920  ,-00:17:00.70, $\leq$ 0.05             ,12.39,11.15, 230$\pm$90$^{*}$  ,                          ,-148, $\beta$
 IRAS 19254-7245  ,0.06149, 19:31:21.400  ,-72:39:18.00,0.74,12.09,12.02, 32$\pm$12         ,-1126,-130, $\gamma$
 IRAS F19297-0406 ,0.08573, 19:32:21.250  ,-03:59:56.30,0.23,12.38,11.81, 180$\pm$70$^{*}$  ,-1000,-119, $\beta$
 IRAS 19542+1110    ,0.0624, 19:56:35.786  , +11:19:05.45   ,0.26,12.06,11.52, 90$\pm$30$^{*}$   ,-700,-29, $\beta$
 IRAS 20087-0308  ,0.1057, 20:11:23.870  ,-02:59:50.70,0.2,12.42,11.79, 210$\pm$80        ,-812,-386, $\gamma$
 IRAS 20100-4156  ,0.1296, 20:13:29.540  ,-41:47:34.90,0.27,12.67,12.16, 340$\pm$130       ,-1609,-461, $\gamma$
 IRAS 20414-1651  ,0.0871, 20:44:18.213  ,-16:40:16.22,0,12.22, <11.46                  , 170$\pm$60        ,-100,-101, $\gamma$
 IRAS F20551-4250 ,0.043, 20:58:26.781  ,-42:39:00.20,0.57,12.05,11.87, 48$\pm$19$^{*}$   ,-1200,-70, $\beta$
 IRAS F22491-1808 ,0.0778, 22:51:49.264  ,-17:52:23.46,0.14,12.84,12.05, 590$\pm$220$^{*}$ ,                          ,-25, $\beta$
 IRAS F23060+0505   ,0.173, 23:08:33.952  , +05:21:29.76   ,0.78,12.53, $\cdot\cdot\cdot$       , 80$\pm$30         ,                          ,                          , $\delta$
 IRAS F23128-5919 ,0.0446, 23:15:46.749  ,-59:03:15.55,0.63,12.03,11.89, 40$\pm$15$^{*}$   ,                          ,                          , $\beta$
 IRAS 23230-6926  ,0.1066, 23:26:03.620  ,-69:10:18.80,0.32,12.37,11.93, 160$\pm$60        ,-845,-55, $\gamma$
 IRAS 23253-5415  ,0.13, 23:28:06.100  ,-53:58:31.00,0.23,12.36,11.78, 180$\pm$70        ,-650,-134, $\gamma$
 IRAS F23389+0300   ,0.145, 23:41:30.306  , +03:17:26.44   ,0.23,12.13,11.54, 100$\pm$40$^{*}$  ,-600,46, $\beta$
 IRAS F00509+1225   ,0.0611, 00:53:34.940  , +12:41:36.0    ,0.9,11.95,11.96, 36$\pm$14         ,                          ,65, $\beta$
 PG 1126-041      ,0.06, 11:29:16.729  , -04:24:07.25   ,0.89,11.46,11.47, 3$\pm$1$^{*}$     ,                          ,                          , $\beta$
 IRAS F12243-0036 ,0.00708, 12:26:54.620  ,-00:52:39.40,0.56,11,10.81, 15$\pm$6          ,                          ,-63, $\beta$
 PG 2130+099        ,0.063, 21:32:27.813  , +10:08:19.46   ,0.92,11.71,11.76, 4$\pm$2$^{*}$     ,                          ,                          , $\beta$
